recommendation_id,elapsed_time,new_predicted_output,new_predicted_uncertainty,current_trained_hps,average_rmse,plasma_prep_time,precursor_dose_time,plasma_purge_time,ALD_purge_time,campaign_id
0t49twbk2hzaz0003zkpb1wha0,2.260901100002229,0.13085822968885422,0.0002489346292763726,"[0.001381903685210191, 1.4999518110357464, 0.27808298548956656, 1.4999379840359004, 1.4996135029991575, 0.1150377857827326]",0.014273842102882333,10.001038215517788,5069.002244906381,5999.999217882354,10.000447427875855,0t49fgtahnrvv000294qhkf8jm
0t49v37wjdxw7000wwjzx5hrc4,2.1859484000015073,-0.014189622497164489,0.00018795714466385798,"[0.001538093704767183, 1.4999148890371037, 0.33914410047949656, 1.4995697802399202, 1.4997234120004341, 0.11343500926852251]",0.022722123912930353,1903.092913977335,100.00027329934942,2973.474515089673,3106.695888669246,0t49fgtahnrvv000294qhkf8jm
0t49va55fnrgk000ae152d0fwm,1.9303314000135288,0.13152727474087936,0.0001867270666339505,"[0.001705680166426981, 1.499838575921809, 0.38003318233205646, 1.4994966427347287, 1.4999003385260745, 0.10752851220196374]",0.02228806141007742,1692.8666473345547,2124.127210596282,3156.493998283791,5999.99988719372,0t49fgtahnrvv000294qhkf8jm
0t49vm3z8nt870001edtv01n6g,2.2321368000120856,0.13521935854311684,0.0002248105204225019,"[0.0015490046419752712, 1.4998279770932195, 0.32906843433496297, 1.4999767468661283, 1.4999297281452497, 0.11041699724924638]",0.018187773752938154,3999.998610347085,3522.6423272112647,10.002169079289786,10.000818964251634,0t49fgtahnrvv000294qhkf8jm
0t49vskvtszdd000xtsxhxmn64,1.9967757999547757,0.16908750210906928,0.00017631996025357504,"[0.0016465770026903893, 1.4999550775633155, 0.36373356208900715, 1.4998639729555894, 1.4996898979716988, 0.10930313147116244]",0.021178712272919203,2006.719960671038,5143.422101271158,10.000350543443055,2749.465170599047,0t49fgtahnrvv000294qhkf8jm
0t49w13qbnvd9000kmmcd6eskr,2.0790398999815807,0.1261031492001765,0.00016584972178114698,"[0.0016600324967749325, 1.4999967890126031, 0.3727466936732107, 1.4992206879315821, 1.499992083869662, 0.10861427631674139]",0.018612992235194296,10.00160857746986,2586.3578508010896,2019.4397554121012,2620.681216864747,0t49fgtahnrvv000294qhkf8jm
0t49w7gbvsv0f000qv7bwe6anw,2.0959382000146434,0.15944595641286505,0.00017130020391490107,"[0.0016419080446674374, 1.4998773934323872, 0.3818980014310328, 1.4990900202520756, 1.4999197564922788, 0.10788016505934069]",0.022941992033217434,1833.4335246411244,5999.999653379846,5999.999441962844,2676.6584930454756,0t49fgtahnrvv000294qhkf8jm
0t49whhmnnxb9000h5smsv2m2r,2.249997200036887,0.06585220978755948,0.0001813066770012265,"[0.001963570683444691, 1.4998031434119214, 0.44175066661570905, 1.4996192328076203, 1.4998099178115973, 0.10931314458739422]",0.023702333206928456,1784.725303593511,1161.042310453215,10.00005672375685,2723.8917480423247,0t49fgtahnrvv000294qhkf8jm
0t49wqc4pdx8n0001w28jkqn88,2.4176971999695525,0.1322201281986837,0.00017385246933114134,"[0.0019791140488706407, 1.4998437330210566, 0.45148027739614954, 1.499814076888659, 1.4991856222508646, 0.10746503462953191]",0.027359703612987663,2061.737177036717,3335.1906431546045,5999.999173929684,3191.5344065344507,0t49fgtahnrvv000294qhkf8jm
0t49x0vrsdxsf000v0384qw2d8,2.155161400034558,0.16006202317006255,0.0001710937147228017,"[0.001894811654248308, 1.4997503449396457, 0.44052703466406024, 1.4998429720726938, 1.499957739560812, 0.10900170874276564]",0.019401251937311327,3999.999719726845,4996.5809305732255,3027.7167382508173,2986.487854819373,0t49fgtahnrvv000294qhkf8jm
0t49xae699y5v000f4sdtgn2w0,1.936430100002326,0.09426732185665222,0.0001700008605190312,"[0.0020105697074575407, 1.4997570889426461, 0.46088403338180495, 1.499996665558617, 1.4994111675277018, 0.10932176825783801]",0.01860718874823665,1770.6281428093357,2092.740905302312,2936.857014106539,10.000745936702923,0t49fgtahnrvv000294qhkf8jm
0t49xfmpexvq9000vhjey8k214,2.0848973999964073,0.1717315305566846,0.00018186509877504735,"[0.0019869238726790625, 1.499912053592764, 0.4574933243022405, 1.4994876637991903, 1.499660845604202, 0.11059661953139778]",0.021040476164676834,1742.4659134580143,5999.99988290086,10.000521400254508,10.00006996727806,0t49fgtahnrvv000294qhkf8jm
0t49xn7bgxsbv000t1rpy4fpyr,2.1746649999986403,0.1398183093581482,0.00016549522047279393,"[0.001970889798376875, 1.4998839458685274, 0.44772536121370526, 1.4999916824721224, 1.4998221585023093, 0.11170829407714514]",0.013524543156066613,1998.5048998234336,4763.545114483339,2917.8475378081603,10.000698807985259,0t49fgtahnrvv000294qhkf8jm
0t49xvhys1zk700082zvehbnxr,1.7280383999459445,0.05372307528039015,0.00015259005342555882,"[0.001885450024795541, 1.4998823791856568, 0.4383041706058837, 1.4994890047068337, 1.4989009600069876, 0.11059991484232772]",0.018770757154746978,10.000036091898117,901.497915538094,2733.0178869392703,2677.2776559101526,0t49fgtahnrvv000294qhkf8jm
